,CMU1,CUBoulder1,Amherst1,UChicago1,Princeton1,ND1,Cornell2,Baruch1,Harvard1,UCBerkeley1,StBon1,UChicago3,Indiana1,Iowa1,UChicago4,ND2,Dartmouth2,UChicago5,Columbia1,CMU2,Amherst2
1292,5.05E-05,-0.000574409,-5.37E-05,-5.79E-05,-0.00010349,-0.000162441,3.14E-05,-8.62E-06,2.98E-05,-2.63E-05,-8.00E-05,-8.74E-05,0.000205494,0.000132551,-0.00013439,-6.84E-05,-8.27E-05,0,1.37E-05,-0.00010745,-3.03E-05
1293,-9.85E-05,-6.47E-05,4.08E-05,-0.000174218,-0.000206934,6.37E-05,5.77E-05,0.000225743,2.34E-05,-1.50E-05,8.84E-05,-7.59E-05,-0.000949164,7.07E-05,0.000109802,6.87E-05,1.92E-05,0,-0.000100572,-0.000350029,2.75E-05
1294,2.74E-05,0.000498925,-6.59E-05,3.89E-05,-0.000300948,-5.05E-06,-5.69E-05,0.000275581,-4.84E-05,4.77E-05,-2.84E-05,-3.39E-06,-0.000956321,0.000305391,-6.63E-05,-3.21E-05,2.55E-05,0,-0.000184264,-0.000413781,-4.99E-05
1295,0.000172641,3.20E-05,-2.08E-05,-5.10E-05,-3.36E-05,-0.000254296,4.13E-05,-1.94E-05,1.35E-06,-0.000143876,-6.29E-05,0.000225519,0.000197986,-6.54E-05,8.83E-05,-0.000369561,-0.000212802,0,-0.000337602,0.000232414,2.61E-05
1296,2.12E-06,-0.000327762,-3.89E-05,0.000303874,-0.000154185,0.000218737,-6.12E-06,-3.33E-05,0.000105903,0.000226534,0.000224752,8.24E-05,-0.000165393,-5.29E-05,-6.39E-05,7.39E-05,0.000218301,0,0.000411059,-0.000285002,-2.56E-05
1297,9.52E-05,0.000195755,6.85E-05,9.76E-05,-0.00046112,-8.70E-05,2.50E-05,-5.11E-06,8.06E-05,0.00021832,4.75E-05,6.31E-05,-0.000604557,-2.38E-05,-0.000197369,9.58E-05,7.04E-05,0,0.000235866,0.000184,4.97E-05
1298,9.17E-05,0.000543785,3.16E-05,-0.000103692,0.000158491,-6.31E-05,6.65E-05,-0.000121775,0.000129697,0.000108571,-3.97E-05,-9.79E-05,0.001307596,-4.39E-05,-0.000124129,-5.78E-05,6.87E-05,0,0.000171286,0.000244468,4.93E-05
1299,6.51E-05,-9.89E-05,-0.000208575,-2.51E-05,-0.000123793,6.96E-05,-0.000163923,0.000162886,-0.000195326,6.14E-05,8.36E-05,-6.43E-05,8.52E-05,-7.14E-05,-1.34E-05,2.36E-05,4.70E-05,0,0.000184575,-0.000419875,-0.000216007
1300,-7.65E-05,7.23E-05,2.85E-05,-4.80E-05,0.000265239,0.000158951,2.06E-05,-0.000116308,1.94E-05,-2.83E-05,-3.18E-05,-7.13E-06,0.000232831,-1.97E-05,2.95E-05,0.000223097,0.000178932,0,-9.17E-05,-0.000422253,9.43E-06
1301,8.72E-05,-0.000317829,-5.52E-05,4.30E-05,-0.000221453,7.06E-05,-7.29E-05,-0.000115906,-2.17E-05,1.88E-05,-0.000100794,-0.000101716,-0.00060278,-6.71E-05,-9.12E-05,6.66E-05,6.45E-05,0,-5.44E-05,-0.000120104,-7.26E-05
